round,mode,loss,accuracy
0,iid,1.9370261135354507,0.1786012816940652
1,iid,1.7736078595693132,0.25801058790749515
2,iid,1.7136698750268042,0.3080245193647255
3,iid,1.6635935359296545,0.3520479242128727
4,iid,1.6271777084443422,0.35316244079130676
5,iid,1.577304119557406,0.3874338255781555
6,iid,1.5441316097183566,0.4005293953747562
7,iid,1.5131829871540576,0.41056004458066314
8,iid,1.4904998440658097,0.4189189189189189
9,iid,1.4647271548752236,0.4334076344385623
10,iid,1.4380249966562322,0.43758707160769017
0,iid,1.9370261135354507,0.1786012816940652
